09-14 20:32:50.782 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=3212 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:51.789 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -58 -57 -61 -59 -47 -41 -39 -33 -32 -39 -53 -41 -33 -27 -27 -33 -34 -31 -31 -30 -30 -33 -34 -36 -35 -33 -31 -30 -28 -27 -25 -27 
09-14 20:32:51.793 21801  4840 I wDSP_SpectrumEngine: POWER32 -92 -91 -91 -83 -71 -60 -57 -55 -45 -50 -63 -49 -35 -29 -27 -33 -36 -32 -32 -32 -29 -34 -31 -34 -34 -36 -33 -34 -34 -35 -34 -38 
09-14 20:32:51.794 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:51.794 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:51.794 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=3310 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:52.802 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -56 -55 -53 -51 -41 -41 -42 -30 -38 -42 -52 -41 -33 -25 -27 -31 -32 -30 -31 -31 -32 -32 -34 -36 -34 -34 -31 -30 -29 -27 -25 -27 
09-14 20:32:52.806 21801  4840 I wDSP_SpectrumEngine: POWER32 -86 -85 -85 -74 -64 -58 -64 -48 -57 -53 -62 -45 -36 -25 -27 -32 -33 -31 -36 -32 -35 -31 -32 -34 -33 -33 -33 -33 -34 -36 -34 -37 
09-14 20:32:52.806 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:52.806 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:52.806 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=3404 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:53.815 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -67 -66 -57 -56 -42 -43 -43 -35 -37 -39 -54 -40 -33 -27 -27 -32 -34 -29 -30 -31 -32 -34 -34 -36 -34 -33 -31 -30 -28 -27 -25 -27 
09-14 20:32:53.821 21801  4840 I wDSP_SpectrumEngine: POWER32 -99 -98 -84 -95 -63 -61 -62 -52 -52 -50 -61 -40 -33 -29 -29 -33 -34 -30 -32 -33 -33 -34 -32 -32 -34 -31 -33 -34 -34 -35 -34 -37 
09-14 20:32:53.821 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:53.821 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:53.821 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=3497 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:54.829 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -65 -64 -66 -58 -48 -44 -41 -31 -34 -38 -54 -41 -34 -26 -28 -32 -33 -30 -32 -33 -31 -33 -34 -37 -34 -33 -31 -30 -28 -27 -25 -27 
09-14 20:32:54.836 21801  4840 I wDSP_SpectrumEngine: POWER32 -97 -96 -103 -87 -70 -76 -59 -46 -46 -49 -61 -42 -35 -29 -28 -33 -35 -31 -39 -37 -30 -36 -33 -32 -29 -34 -36 -36 -33 -34 -34 -36 
09-14 20:32:54.836 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:54.836 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:54.836 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=3595 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:55.842 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -59 -58 -57 -56 -45 -44 -40 -31 -36 -36 -53 -41 -34 -26 -27 -31 -33 -30 -31 -29 -32 -34 -34 -36 -35 -33 -32 -30 -29 -27 -25 -27 
09-14 20:32:55.844 21801  4840 I wDSP_SpectrumEngine: POWER32 -102 -101 -94 -82 -67 -71 -57 -51 -55 -51 -58 -44 -36 -26 -28 -33 -36 -30 -32 -29 -31 -35 -30 -32 -33 -34 -34 -34 -35 -35 -33 -38 
09-14 20:32:55.844 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:55.844 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
